Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
1.719167   302.518485   1160.545530   2542.739102   3594.403814
1.725417   326.535671   1139.821134   2467.495916   3585.053309
1.731667   363.095142   1123.914950   2483.196628   3694.888045
1.737917   398.693680   1241.244734   2442.930153   3712.959931
1.744167   427.595373   1199.427920   2282.728562   3495.576778
1.750417   448.597125   1239.211841   2346.855819   3462.837816
1.756667   491.923625   1266.753961   2532.709095   3476.378615
1.762917   726.263317   1486.494467   2562.999315   3472.137021
1.769167   509.672527   1229.584415   2543.190703   3446.441864
1.775417   546.423320   1265.102665   2624.649781   3419.832070
1.781667   528.298699   1242.556744   2477.588836   3408.221828
1.787917   529.433414   1271.422749   2609.917425   3692.024085
1.794167   366.870290   1267.779888   3026.883916   3803.119013
1.800417   790.987826   1225.725560   3097.961125   4311.653610
1.806667   1167.557611   3545.119405   4318.491548   5028.273845
1.812917   366.003645   1852.834040   3739.019749   4322.016669
1.819167   475.325237   2107.976521   3938.815322   4155.545063
1.825417   417.656492   2089.780325   3653.224152   3982.826749
1.831667   1372.112393   3383.699083   3939.799856   4902.196708
1.837917   1453.333092   3365.739810   3839.507176   4887.891805
1.844167   1530.664676   3328.514677   3761.891662   --undefined--
1.850417   1697.855415   3290.540289   3620.430303   4073.487717
1.856667   1587.924328   3082.364034   3492.513002   4339.633463
1.862917   1400.401864   3012.027647   3679.859574   4645.663448
1.869167   1402.293353   3123.935744   3803.641414   5056.229257
1.875417   290.072948   1435.193643   3015.731667   3951.844075
1.881667   307.466454   1745.657609   2979.563424   4097.078674
1.887917   301.988634   2188.172194   3268.098944   4103.028970
1.894167   275.706655   1743.991248   3011.404273   3822.287306
1.900417   240.671905   1653.133231   3379.008442   3960.456006
1.906667   200.074836   1336.439381   3373.394176   4008.462023
1.912917   197.628727   1340.697325   3420.565860   4200.904890
1.919167   197.990284   1386.406790   3456.157510   4149.277864
1.925417   191.761448   1463.949102   3428.789520   4118.305101
1.931667   193.248303   1502.524721   3422.944703   4280.300112
1.937917   190.718892   1461.793130   3426.537355   4277.962017
1.944167   191.546131   1362.337644   3409.419468   4056.271961
1.950417   172.137849   1298.651117   3380.941449   4021.075061
1.956667   188.837000   1326.379148   3363.609122   4027.032808
1.962917   187.820376   1475.447450   3319.336027   4034.072649
1.969167   176.113660   1513.726891   3354.539020   4055.476452
1.975417   162.919457   1462.711608   3404.655580   4131.397024
1.981667   154.675811   1396.270974   3366.990618   4189.743431
1.987917   96.027684   1541.120612   3343.825338   4071.863170
1.994167   1209.746937   2297.949709   3794.569541   --undefined--
2.000417   703.439124   1240.059837   2541.225240   3493.880649
2.006667   317.450505   1227.228912   2668.216491   3445.758721
